what is a healthy diet,"A healthy eating pattern is one that provides enough of each essential nutrient from nutrient-dense foods, contains a variety of foods from all of the basic food groups, and focuses on balancing calories consumed with calories expended to help you achieve and sustain a healthy weight. This eating pattern limits intake of solid fats, sugar, salt (sodium) and alcohol. "
how is food digested,"Digestion begins in the mouth, when we chew and swallow, and is completed in the small intestine. Digestion involves the mixing of food, its movement through the digestive tract, and the breakdown of food into smaller molecules. The digestive process varies for different kinds of food."
how can i lose gain weight i would like to lose gain weight i want to lose gain weight,"Losing, gaining or staying at the same weight all depend on how many calories you eat and how many calories your body uses over time. If you eat more calories than you use, you will gain weight; conversely, if you eat fewer calories than you use, you will lose weight."
what happens to extra calories,"Consuming extra calories results in an accumulation of stored body fat and weight gain. This is true whether the excess calories come from protein, fat, carbohydrate, or alcohol."
how long should i keep leftover food,"When refrigerated, most cooked leftovers can be kept for 3 to 4 days, and should be reheated to 165 degrees before consuming."
what are the benefits of a healthy diet,"A healthy diet helps to protect against malnutrition in all its forms, as well as noncommunicable diseases (NCDs), including such as diabetes, heart disease, stroke and cancer. Unhealthy diet and lack of physical activity are leading global risks to health."
what is a food allergy,A food allergy is when your body's immune system reacts to a food protein because it has mistaken that food protein as a threat. Symptoms can range from mild to life-threatening.
what is the difference between food allergy and food intolerance,"Food allergy is sometimes confused with food intolerance. Food allergies involve your immune system and can be life-threatening. An intolerance is when your body has trouble digesting a food. It can make you feel badly, usually with an upset stomach, but it is not life-threatening. The most common intolerance is to lactose—which is a natural sugar found in milk."
what are the most common food allergens,"More than 170 foods are known to cause food allergies, but eight foods account for 9 out of 10 reactions in the United States. They are milk, eggs, peanuts, tree nuts, soy, wheat, fish and shellfish."
what are the symptoms of a food allergy reaction,"An allergic reaction to food can have many different symptoms, and a single person can experience different symptoms from one reaction to the next. Many reactions start with skin symptoms, like hives or a rash, but some do not. More serious symptoms like a drop in blood pressure and trouble breathing can be life-threatening."
what does a healthy diet include,"Most health experts recommend that you eat a balanced, healthy diet to maintain or to lose weight. It should include: Protein (found in fish, meat, poultry, dairy products, eggs, nuts, and beans), Fat (found in animal and dairy products, nuts, and oils), Carbohydrates (found in fruits, vegetables, whole grains, and beans and other legumes), Vitamins (such as vitamins A, B, C, D, E, and K), Minerals (such as calcium, potassium, and iron), Water (both in what you drink, and what's naturally in foods)."
which is the healthiest cooking oil,"All oils, with the exception of palm oils, are healthy when used in small amounts. It is best to use a variety of oils for cookingrice bran oil, vegetable oil, soybean oil, groundnut oil. Keep changing your oil every month; that way you can get both the heart healthy fats—monounsaturated and polyunsaturated fats—in your diet."
